Unknown1,Sex,Date,Subject,Grade,Unknown2
389,F,2012-02,gsi015,0,58
804,M,2014-01,gsi015,61,14
804,M,2013-01,gsi015,31,24
804,M,2013-02,gsi015,24,30
939,M,2009-02,gem03,29,0
345,M,2011-02,gsi014,29,24
345,M,2012-02,gsi015,76,18
522,M,2015-02,gsi037,81,14
860,M,2013-01,gsi015,0,52
648,M,2011-02,gsi005,37,6
810,M,2015-01,gsi015,35,8
550,M,2015-01,gfm015,98,4
849,M,2013-01,gsi015,76,8
530,F,2015-02,gsi037,82,12
530,F,2013-01,gsi015,88,7
852,M,2013-01,gsi015,80,10
847,M,2013-01,gsi015,85,4
605,M,2013-02,gsi005,0,18
605,M,2014-02,gsi015,13,22
624,M,2013-02,gsi005,0,34
598,M,2013-02,gsi005,3,14
698,M,2014-02,gsi015,22,16
698,M,2015-01,gsi015,0,62
607,M,2013-02,gsi005,17,20
588,M,2013-02,gsi005,82,2
588,M,2014-02,gsi015,63,10
594,M,2013-02,gsi005,11,0
621,M,2013-02,gsi005,0,34
164,M,2009-01,inf63,60,2
619,M,2013-02,gsi005,2,16
574,M,2013-02,gsi005,19,2
876,M,2009-01,gem03,78,0
134,M,2009-01,inf63,5,6
134,M,2009-02,inf63,13,14
783,F,2014-01,gsi015,60,10
783,F,2013-01,gsi015,4,18
783,F,2013-02,gsi015,3,6
16,M,2009-01,gem03,36,7
16,M,2009-02,gem03,65,18
483,M,2015-02,gsi015,0,42
547,F,2015-01,gfm015,12,12
568,F,2015-01,gfm015,18,10
561,M,2015-01,gfm015,85,2
110,F,2016-02,gsi015,9,10
533,M,2015-02,gsi037,73,9
560,F,2015-01,gfm015,85,2
565,F,2015-01,gfm015,56,4
881,M,2009-01,gem03,10,19
